gp_plansp_kod;gp_kod;gp_group_rank_shortname_rus;gp_subgroup_rank_shortname_rus
100U;A10;01.дюХжо;01.01.дюХжо
100U;A11;01.дюХжо;01.02.дюХжо оНДПЪД
100U;A12;01.дюХжо;01.03.дюХжо оою
100U;A13;01.дюХжо;01.04.яляо лЕРПНКНЦХЪ
100U;B10;02.соа;02.01.соа
100U;C10;03.жл;03.01.жлп
100U;D10;03.жл;03.02.жлгХя
100U;E10;04.дцщ;04.01.дцщ
100U;E11;04.дцщ;04.02.дцщ щм
100U;E12;04.дцщ;04.03.дцщ щн
100U;F10;05.он;05.01.он попн
100U;G10;06.дяон;06.01.дяон
100U;H10;07.суд;07.01.суд (тжн)
100U;H11;07.суд;07.02.суд
100U;H12;07.суд;07.03.суд яас
100U;I10;08.жд;08.01.жд
100U;J10;09.жпнот;09.01.жпнот
100U;J11;10.гХя;10.01.гХя жпнот
100U;J12;11.на;11.01.на жпнот
100U;J13;12.щн;12.01.щн жпнот
100U;K10;13.йюс;13.01.йюс
100U;M10;14.дцл;14.01.дцл
100U;M11;14.дцл;14.02.дцл гХя
100U;M12;14.дцл;14.03.дцл на
100U;M13;14.дцл;14.04.дцл на цн
100U;M14;14.дцл;14.05.дцл обя
100U;M16;14.дцл;14.06.дцл рн
100U;M17;14.дцл;14.07.дцл лрп
100U;N10;15.длрн;15.01.длрн
100U;P10;16.доаХнр;16.01.доаХнр
100U;Q10;17.сан;17.01.сан
100U;R10;18.жцп;18.01.жцп
100U;S10;19.цс;19.01.цс
100U;T10;20.рд;20.01.рд
100U;T11;20.рд;20.02.рд нРД Ф/Д РПЮМ
100U;T12;20.рд;20.03.рд нРД ПЕЛ РЕУМ
100U;T13;20.рд;20.04.рд сйпфдр
100U;T14;20.рд;20.05.рд нРДсВлНМюБРН
100U;U10;21.схр;21.01.схр
100U;W10;22.сйя;22.01.сйя
100U;Y10;23.спра;23.01.спра
100U;Z10;24.жцря;24.01.жцря
