org_be_kod;org_be_rank;org_be_fullname_eng;org_be_shortname_eng;org_be_fullname_rus;org_be_shortname_rus;org_sp_kod;org_sp_rank;org_sp_fullname_eng;org_sp_shortname_eng;org_sp_mixname_rus
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;102W;01;Medniy Zavod;MZ;Медный завод
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;104W;02;TOF;TOF;ТОФ
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;105W;03;NMZ;NMZ;НМЗ
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;106S;04;ATO ZATK;ATO ZATK;АТО ЦАТК
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;109W;05;Rudnik Taimirsky;RT;"Рудник ""Таймырский"""
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;110W;06;Rudnik Oktyabrsky;RO;"Рудник ""Октябрьский"""
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;112W;07;SPGT;SPGT;СПГТ
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;113W;08;Rudnik Komsomolsky;RK;"Рудник ""Комсомольский"""
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;114W;09;Rudnik Mayak;RM;"Рудник ""Маяк"""
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;115S;10;PTJT;PTJT;ПТЖТ
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;133W;11;Rudnik Skalisty;RS;"Рудник ""Скалистый"""
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;138S;12;NPTBT Osnovnoi;NPTBTO;НПТБТ Основной
