org_be_kod;gp_plansp_kod;org_sp_kod;org_sp_rank;org_sp_fullname_eng;org_sp_shortname_eng;org_sp_mixname_rus;org_sp_rank_mixname_rus
0101;100U;102W;01;Medniy Zavod;MZ;Медный завод;ЗФ: 01.Медный завод
0101;100U;104W;02;TOF;TOF;ТОФ;ЗФ: 02.ТОФ
0101;100U;105W;03;NMZ;NMZ;НМЗ;ЗФ: 03.НМЗ
0101;100U;106S;04;ATO ZATK;ATO ZATK;АТО ЦАТК;ЗФ: 04.АТО ЦАТК
0101;100U;109W;05;Rudnik Taimirsky;RT;"Рудник ""Таймырский""";"ЗФ: 05.Рудник ""Таймырский"""
0101;100U;110W;06;Rudnik Oktyabrsky;RO;"Рудник ""Октябрьский""";"ЗФ: 06.Рудник ""Октябрьский"""
0101;100U;112W;07;SPGT;SPGT;СПГТ;ЗФ: 07.СПГТ
0101;100U;113W;08;Rudnik Komsomolsky;RK;"Рудник ""Комсомольский""";"ЗФ: 08.Рудник ""Комсомольский"""
0101;100U;114W;09;Rudnik Mayak;RM;"Рудник ""Маяк""";"ЗФ: 09.Рудник ""Маяк"""
0101;100U;115S;10;PTJT;PTJT;ПТЖТ;ЗФ: 10.ПТЖТ
0101;100U;133W;11;Rudnik Skalisty;RS;"Рудник ""Скалистый""";"ЗФ: 11.Рудник ""Скалистый"""
0101;100U;138S;12;NPTBT Osnovnoi;NPTBTO;НПТБТ Основной;ЗФ: 12.НПТБТ Основной
